source_key,raga,artist,title,performance_type,link,source_platform,duration_sec,license_type,rights_status,collection_id,rank,tags
yt_bhairavi_playlist_mvZryLhXkHg,bhairavi,,Ye Daulat Bhi Le Lo | Ghazal | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=mvZryLhXkHg,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_nlEWIyNg_Xw,bhairavi,,Virah Vyathit Man Saaki Tatkshan | Rachna | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=nlEWIyNg_Xw,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_ocvQtHApSec,bhairavi,,Ganpati Bappa Morya | Bhajan | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=ocvQtHApSec,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_soebeaVgx4Q,bhairavi,,Albeli Naar Pritam Dware | Geet | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=soebeaVgx4Q,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_uEl7lpuxMko,bhairavi,,Colours of Bhairavi Part 1 | Dhun | Instrumental | First Prahar,,https://www.youtube.com/watch?v=uEl7lpuxMko,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_xxC7nzxOr5I,bhairavi,,Colours of Bhairavi Part 4 (Patriotic) | Dhun | Instrumental | First Prahar,,https://www.youtube.com/watch?v=xxC7nzxOr5I,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bhairavi_playlist_zipUlFYkrw0,bhairavi,,Spider Man Theme Song | Instrumental | Notation | Raag Bhairavi | First Prahar,,https://www.youtube.com/watch?v=zipUlFYkrw0,youtube,,unknown,ingestible,,,"{""tags"": []}"
bilawal_bhimsen_joshi,bilawal,Pandit Bhimsen Joshi,Raga Bilawal (Thaat Bilawal),vocal,https://www.youtube.com/watch?v=gWkA5Ud0mUk,youtube,,unknown,reference_only,,,"{""tags"": [""vocal"", ""khayal""], ""collection_key"": ""yt_bilawal_playlist""}"
yt_bilawal_playlist_2UltYhFIzII,bilawal,,Raag Bilawal - Bal Bal Jau Siyam Sundar Kau Bhai Gagandeep Singh Hazuri Ragi ji,,https://www.youtube.com/watch?v=2UltYhFIzII,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_4Cv2QcxQJW8,bilawal,,Rag Bilawal - Bhoole Marag Jineh Bataeya Bhai Sukhwant Singh Hazuri Ragi Ji,,https://www.youtube.com/watch?v=4Cv2QcxQJW8,youtube,,unknown,ingestible,,,"{""tags"": []}"
yt_bilawal_playlist_E6Tt5IZ3R2E,bilawal,,ਮੋਰੀ ਅਹੰ ਜਾਇ ਦਰਸਨ ਪਾਵਤ ਹੇ Bhai Kuldeep Singh Hazuri Ragi Ji,,https://www.youtube.com/watch?v=E6Tt5IZ3R2E,youtube,,unknown,ingestible,,,"{""tags"": []}"
